"Pax","Issue.Date","Sector","Cls","Net"
1,1,4,6,3200
1,1,5,6,3094
1,1,3,6,2400
1,1,5,6,2694
1,1,4,6,3200
1,1,4,6,3200
1,1,1,6,3299
1,1,1,6,3299
1,1,4,6,2699
1,1,4,6,2699
2,1,3,6,2200
1,1,5,6,2699
1,1,5,6,2699
1,1,4,6,3200
1,1,6,6,2195
1,1,1,6,3299
1,1,1,6,3299
1,1,6,6,2195
1,1,4,6,2699
1,1,4,6,2699
1,1,6,6,2195
1,1,6,6,2195
1,1,1,6,3299
1,1,3,6,2200
1,1,3,6,2200
1,1,3,6,2200
1,1,3,6,2200
1,1,4,6,2699
1,1,4,6,4210
1,1,3,6,2200
1,1,6,6,2195
1,1,4,6,2699
1,1,4,6,3200
1,1,4,6,3200
1,1,6,6,2195
1,1,5,6,2200
1,1,5,6,2200
1,1,1,6,3700
1,1,5,6,2699
2,1,5,6,2699
1,1,2,6,2200
1,1,3,6,2200
1,1,6,6,2195
1,1,5,6,2494
1,1,6,6,2195
1,1,6,6,2195
1,1,4,6,3700
1,1,5,6,3200
1,1,6,6,2195
1,1,6,6,2195
1,1,2,6,3200
1,1,2,5,4279
1,1,2,5,4279
1,1,2,5,4279
1,1,1,6,3700
1,1,1,6,3700
1,1,3,6,2195
1,1,6,6,2195
1,1,4,6,4210
1,1,6,6,2195
1,1,6,6,2195
1,1,5,6,3910
1,1,3,6,2195
1,1,3,6,2195
1,1,1,6,3700
1,1,4,6,4210
1,1,4,6,4210
1,1,1,6,3700
1,1,3,6,2195
1,1,5,6,3850
1,1,6,6,3200
1,1,6,6,3200
1,1,2,6,3910
1,1,3,6,2195
2,1,3,6,2195
1,1,3,6,2195
1,1,3,6,2195
1,1,6,6,2195
1,1,3,6,2195
1,1,1,6,2999
1,1,1,6,2999
1,1,1,6,2999
1,1,2,6,3910
1,1,6,6,3200
1,1,6,6,3200
1,1,3,6,2195
1,1,3,6,2195
1,1,1,6,3700
1,1,2,6,3910
1,1,4,5,4580
1,1,4,6,3695
1,1,4,6,3200
1,1,6,6,3200
1,1,6,6,3200
1,1,6,6,2195
1,1,6,6,2195
1,1,1,5,4580
1,1,1,5,4580
1,1,4,5,4580
1,1,3,6,2195
1,1,6,5,3599
2,1,6,5,3599
1,1,2,5,4279
1,1,3,5,3599
1,1,6,6,3200
1,1,5,6,3850
1,1,6,6,3200
1,1,6,6,3200
1,1,3,5,3599
1,1,5,6,3910
1,1,4,6,3695
1,5,6,6,3350
1,5,4,4,4960
